"","X","DAY","MONTH","YEAR","LATITUDE.x","LONGITUDE.x","Depth","Magnitude","Magnitude.Type","FLAG_TSUNAMI","INTENSITY","COUNTRY","LOCATION_NAME","DEATHS","INJURIES","DAMAGE_MILLIONS_DOLLARS","HOUSES_DESTROYED","HOUSES_DAMAGED","TOTAL_MISSING","PeopleAffected","PropertyDamanged"
"413",413,17,11,2015,38.67,20.6,11,6.5,"MWW",1,9,"GREECE","GREECE:  LEFKADA, KEFALONIA, ITHACA",2,4,1,1,22,11,17,23
"414",414,17,12,1979,-8.39,115.889,33,6.3,"MS",0,7,"INDONESIA","INDONESIA:  SUMBAWA ISLAND:  BALI, LOMBOK",27,200,1000,8546,6615,200,427,15161
"415",415,17,12,1987,35.362,140.214,62.9,6.7,"MW",0,8,"JAPAN","JAPAN:  HONSHU:  CHIBA PERFECTURE, TOKYO",2,12,5,290,20,62,76,310
"416",416,17,12,2006,0.626,99.859,30,5.8,"MWC",0,8,"INDONESIA","INDONESIA:  SUMATERA:  NORTHERN, MUARASIPONGI",7,100,2.5,680,20000,17,124,20680
"417",417,17,12,2016,-4.5049,153.5216,94.54,7.9,"MWW",1,5,"PAPUA NEW GUINEA","PAPUA NEW GUINEA:  NEW BRITAIN NEW IRELAND",1,100,2.625,15000,17,9,110,15017
"418",418,17,2,1996,-0.891,136.952,33,8.2,"MW",1,4,"INDONESIA","INDONESIA:  NEW GUINEA:  IRIAN JAYA:  BIAK, SUPIORI",54,423,4.2,5043,2000,5,482,7043
"419",419,17,3,1973,13.372,122.787,33,7,"MS",1,9,"PHILIPPINES","PHILIPPINES:  QUEZON CITY:  CALAUG,LOPEZ,GUIAYANGAN",15,64,0.45,35,600,1,80,635
"420",420,17,3,1985,-32.633,-71.551,33,6.7,"MW",0,7,"CHILE","CHILE:  VALPARAISO, VINA DEL MAR",1,252,7,1000,43719,6,259,44719
"421",421,17,4,1990,39.436,74.9,33,6,"MW",0,8,"CHINA","CHINA:  S XINJIANG:  WUQIA COUNTY",1,2,236.4,150,100,1,4,250
"422",422,17,4,2003,37.529,96.476,14,6.4,"MWC",0,6,"CHINA","CHINA:  QINGHAI PROVINCE:  DELINGHA",26,42,75,45,45,15,83,90
"423",423,17,4,2012,-32.625,-71.365,29,6.7,"MWW",0,6,"CHILE","CHILE:  VALPARAISO",2,15,1,300,43719,17,34,44019
"424",424,17,4,2013,33.958,139.352,8.8,5.6,"MWB",0,6,"JAPAN","JAPAN: MIYAKEJIMA",1,3,4,4000,3700,138,142,7700
"425",425,17,5,1976,40.381,63.472,10,7,"MS",0,10,"UZBEKISTAN","UZBEKISTAN:  GAZLI, BUKHARA",1,181,85,1000,2230,62,244,3230
"426",426,17,5,1986,52.327,-174.504,26.2,6.5,"MW",1,8,"USA","ALASKA:  ANDREANOF ISLANDS",60,11,17,34,875,11,82,909
"427",427,17,5,1992,7.191,126.762,33,7.3,"MWB",1,5,"PHILIPPINES","PHILIPPINES:  MINDANAO, TANDAG, BISLIG",1,1300,16200,40,60,1,1302,100
"428",428,17,6,1973,43.233,145.785,48,7.7,"MS",1,8,"JAPAN","JAPAN:  HOKKAIDO ISLAND",43,27,5,2,100,15,85,102
"429",429,17,6,1990,27.398,65.719,14.5,6.1,"MW",0,6,"PAKISTAN","PAKISTAN:  BALUCHISTAN",8,6,730,8000,3288,138,152,11288
"430",430,17,6,2000,63.966,-20.487,10,6.5,"MWC",0,5,"ICELAND","ICELAND:  VESTMANNAEYJAR, HELLA",1641,1,20,11,11,1,1643,22
"431",431,17,7,1980,-12.525,165.916,33,7.9,"MS",1,6,"SOLOMON ISLANDS","SOLOMON ISLANDS:  SANTA CRUZ ISLANDS; VANUATU",1,11,358,544,120,1,13,664
"432",432,17,7,1998,23.407,120.736,12.6,5.7,"MWC",0,5,"TAIWAN","TAIWAN:  CHIA-I, TAINAN, HUALIEN, KAO-HSIUNG",5,27,4,690,8229,1,33,8919
"433",433,17,7,1998,-2.961,141.926,10,7,"MWC",1,8,"PAPUA NEW GUINEA","PAPUA NEW GUINEA:  SISSANO",5,489,60,105,685,28,522,790
"434",434,17,7,2006,-9.284,107.419,20,7.7,"MWC",1,6,"INDONESIA","INDONESIA:  JAVA",1,1,358,300,7561,6,8,7861
"435",435,17,8,1972,-6.05,152.932,20,7.5,"MW",1,5,"SOLOMON SEA","W. SOLOMON SEA",3,100,0.6,1000,71,9,112,1071
"436",436,17,8,1976,7.249,122.939,22,6.8,"MS",0,7,"PHILIPPINES","PHILIPPINES:  MINDANAO",1,5,21.8,31785,41000,21,27,72785
"437",437,17,8,1983,55.867,161.287,62.6,7.1,"MW",1,9,"RUSSIA","RUSSIA:  NEAR EAST COAST OF KAMCHATKA",20,8,865,100000,66800,138,166,166800
"438",438,17,8,1983,18.231,120.86,28.8,6.5,"MS",1,8,"PHILIPPINES","PHILIPPINES:  LUZON",16,47,2.227,100,2214,21,84,2314
"439",439,17,8,1991,40.2516667,-124.2858333,8.32,6,"ML",0,7,"USA","CALIFORNIA:  HONEYDEW, WHITETHORN, PETROLIA",402,1,348.5,800,532,1,404,1332
"440",440,17,8,1991,10.045,-69.948,10,5.6,"MW",0,5,"VENEZUELA","VENEZUELA:  BARQUISIMETO",180,2,16,31785,100,1,183,31885
"441",441,17,8,1999,40.748,29.864,17,7.6,"MWC",1,10,"TURKEY","TURKEY:  ISTANBUL, KOCAELI, SAKARYA",17118,50000,20000,127511,73342,17,67135,200853
"442",442,17,9,1972,38.347,20.307,15,6.5,"MW",0,7,"GREECE","GREECE: LIXOURI, CHAVRIATA, DAMOULIANATA,KOUVALATA",5,2528,1700,40,570,15,2548,610
"443",443,18,1,1981,38.64,142.75,33,6.9,"MS",1,8,"JAPAN","JAPAN:  E. HONSHU ISLAND",67,30,1,50,12,15,112,62
"444",444,18,1,2011,28.777,63.951,68,7.2,"MWW",0,6,"PAKISTAN","PAKISTAN: GARHI KHAIRO, QUETTA, BALOCHISTAN",3,12,3.7,200,200,138,153,400
"445",445,18,10,1989,37.0361667,-121.8798333,17.214,6.9,"MH",1,9,"USA","CALIFORNIA:  LOMA PRIETA",62,3757,5600,1044,2000,62,3881,3044
"446",446,18,10,1992,7.075,-76.862,10,7.2,"MWB",0,6,"COLOMBIA","COLOMBIA:  MURINDO, APARTADO, MEDELLIN",11,115,58.35,544,554,1,127,1098
"447",447,18,10,1995,27.929,130.175,28.4,7.1,"MW",1,10,"JAPAN","JAPAN:  RYUKU IS.",48,1,130,104,100,15,64,204
"448",448,18,10,1996,30.568,131.093,10,6.6,"MWC",1,8,"JAPAN","JAPAN:  KYUSHU ISLAND",81,1090,753,1156,100,62,1233,1256
"449",449,18,11,1997,37.57,20.656,33,6.6,"MWC",0,8,"GREECE","GREECE:  IONIAN SEA, AMALIAS, GARGALIANOI, KALAMAI",11000,382,43,300,100,366,11748,400
"450",450,18,11,2003,12.025,125.416,35,6.5,"MWB",0,7,"PHILIPPINES","PHILIPPINES:  SAMAR:  CAN-AVID",1,21,1,1,10533,1,23,10534
"451",451,18,12,2001,23.954,122.734,14,6.8,"MWC",1,7,"TAIWAN","TAIWAN",3,7,4600,1000,7500,1,11,8500
"452",452,18,3,1977,16.773,122.327,37,7,"MS",0,7,"PHILIPPINES","PHILIPPINES:  LUZON:  MANILA",1,9,0.1,14,22,5,15,36
